,Date,Open,High,Low,Close,Adj Close,Volume
0,1992-11-23,1455.0,1455.0,1455.0,1455.0,1455.0,0.0
1,1992-11-24,1458.400024,1458.400024,1458.400024,1458.400024,1458.400024,0.0
2,1992-11-25,1467.900024,1467.900024,1467.900024,1467.900024,1467.900024,0.0
3,1992-11-26,1459.0,1459.0,1459.0,1459.0,1459.0,0.0
4,1992-11-27,1458.900024,1458.900024,1458.900024,1458.900024,1458.900024,0.0
5,1992-11-30,1456.400024,1456.400024,1456.400024,1456.400024,1456.400024,0.0
6,1992-12-01,1452.300049,1452.300049,1452.300049,1452.300049,1452.300049,0.0
7,1992-12-02,1446.800049,1446.800049,1446.800049,1446.800049,1446.800049,0.0
8,1992-12-03,1442.099976,1442.099976,1442.099976,1442.099976,1442.099976,0.0
9,1992-12-04,1443.199951,1443.199951,1443.199951,1443.199951,1443.199951,0.0
10,1992-12-07,1454.300049,1454.300049,1454.300049,1454.300049,1454.300049,0.0
11,1992-12-08,1480.300049,1480.300049,1480.300049,1480.300049,1480.300049,0.0
12,1992-12-09,1494.900024,1494.900024,1494.900024,1494.900024,1494.900024,0.0
13,1992-12-10,1515.099976,1515.099976,1515.099976,1515.099976,1515.099976,0.0
14,1992-12-11,1513.300049,1513.300049,1513.300049,1513.300049,1513.300049,0.0
15,1992-12-14,1525.900024,1525.900024,1525.900024,1525.900024,1525.900024,0.0
16,1992-12-15,1522.300049,1522.300049,1522.300049,1522.300049,1522.300049,0.0
17,1992-12-16,1508.5,1508.5,1508.5,1508.5,1508.5,0.0
18,1992-12-17,1512.0,1512.0,1512.0,1512.0,1512.0,0.0
19,1992-12-18,1529.400024,1529.400024,1529.400024,1529.400024,1529.400024,0.0
20,1992-12-21,1551.699951,1551.699951,1551.699951,1551.699951,1551.699951,0.0
21,1992-12-22,1543.5,1543.5,1543.5,1543.5,1543.5,0.0
22,1992-12-23,1536.400024,1536.400024,1536.400024,1536.400024,1536.400024,0.0
23,1992-12-24,1547.599976,1547.599976,1547.599976,1547.599976,1547.599976,0.0
24,1992-12-25,,,,,,
25,1992-12-28,,,,,,
26,1992-12-29,1553.5,1553.5,1553.5,1553.5,1553.5,0.0
27,1992-12-30,1552.300049,1552.300049,1552.300049,1552.300049,1552.300049,0.0
28,1992-12-31,1564.699951,1564.699951,1564.699951,1564.699951,1564.699951,0.0
29,1993-01-01,,,,,,
30,1993-01-04,1576.099976,1576.099976,1576.099976,1576.099976,1576.099976,0.0
31,1993-01-05,1579.900024,1579.900024,1579.900024,1579.900024,1579.900024,0.0
32,1993-01-06,1554.800049,1554.800049,1554.800049,1554.800049,1554.800049,0.0
33,1993-01-07,1542.099976,1542.099976,1542.099976,1542.099976,1542.099976,0.0
34,1993-01-08,1510.400024,1510.400024,1510.400024,1510.400024,1510.400024,0.0
35,1993-01-11,1523.599976,1523.599976,1523.599976,1523.599976,1523.599976,0.0
36,1993-01-12,1517.900024,1517.900024,1517.900024,1517.900024,1517.900024,0.0
37,1993-01-13,1502.199951,1502.199951,1502.199951,1502.199951,1502.199951,0.0
38,1993-01-14,1515.400024,1515.400024,1515.400024,1515.400024,1515.400024,0.0
39,1993-01-15,1534.099976,1534.099976,1534.099976,1534.099976,1534.099976,0.0
